filename,file_path,file_size,media_type,extension,resolution_px,duration_seconds,sample_rate_hz,mode,format,frame_count,middle_frame_number,start_frame,end_frame
sample-epub.epub,sample-epub.epub,1.9 KB,other,.epub,,,,,,,,,
sample-excel.xls,sample-excel.xls,5.5 KB,other,.xls,,,,,,,,,
sample-excel.xlsx,sample-excel.xlsx,4.6 KB,other,.xlsx,,,,,,,,,
sample-frameSeq.[1000-1005].png,sample-frameSeq.[1000-1005].png,1.12 MB,video,.png,400x300,,,,,6,1003,1000,1005
sample-green-400x300.jpg,sample-green-400x300.jpg,1.9 KB,image,.jpg,400x300,,,RGB,JPEG,,,,
sample-text.txt,sample-text.txt,16 B,other,.txt,,,,,,,,,
sample_audio-9s.wav,sample_audio-9s.wav,1.61 MB,audio,.wav,,9.586939,44100,,,,,,
sample_video-5s.mp4,sample_video-5s.mp4,2.72 MB,video,.mp4,1920x1080,5.7,44100,,,,,,
sample-markdown.md,subfolder_1\sample-markdown.md,13 B,other,.md,,,,,,,,,
sample-open-spreadsheet.ods,subfolder_1\sample-open-spreadsheet.ods,8.1 KB,other,.ods,,,,,,,,,
sample-openDoc.odt,subfolder_1\sample-openDoc.odt,2.96 MB,other,.odt,,,,,,,,,
sample-pdf.pdf,subfolder_1\sample-pdf.pdf,13.0 KB,other,.pdf,,,,,,,,,
sample-pdfspreadsheet.pdf,subfolder_1\sample-pdfspreadsheet.pdf,16.2 KB,other,.pdf,,,,,,,,,
sample-richText.rtf,subfolder_1\sample-richText.rtf,10.1 KB,other,.rtf,,,,,,,,,
sample-river-400x300.svg,subfolder_1\sample-river-400x300.svg,293.6 KB,other,.svg,,,,,,,,,
sample-tabsep-spreadsheet.tsv,subfolder_1\sample-tabsep-spreadsheet.tsv,16 B,other,.tsv,,,,,,,,,
sample-animated-200x200.gif,subfolder_2\sample-animated-200x200.gif,1.0 KB,image,.gif,200x200,,,P,GIF,,,,
sample-blue-200x200.jpg,subfolder_2\sample-blue-200x200.jpg,1020 B,image,.jpg,200x200,,,RGB,JPEG,,,,
sample-blue-400x300.png,subfolder_2\sample-blue-400x300.png,361 B,image,.png,400x300,,,P,PNG,,,,
sample-bumblebee-400x300.png,subfolder_2\sample-bumblebee-400x300.png,190.9 KB,image,.png,400x300,,,RGB,PNG,,,,
sample-city-park-400x300.jpg,subfolder_2\sample-city-park-400x300.jpg,93.6 KB,image,.jpg,400x300,,,RGB,JPEG,,,,
sample-commasep-spreadsheet.csv,subfolder_2\sample-commasep-spreadsheet.csv,16 B,other,.csv,,,,,,,,,
sample-frameSeq2.[1000-1005].png,subfolder_2\sample-frameSeq2.[1000-1005].png,1.12 MB,video,.png,400x300,,,,,6,1003,1000,1005
sample-word.docx,subfolder_2\sample-word.docx,6.4 KB,other,.docx,,,,,,,,,
sample-zip.zip,subfolder_2\sample-zip.zip,650 B,other,.zip,,,,,,,,,
